输入,预期输出,实际输出,是否错误
测试,0,0,
白痴,1,0,错误
fuck,1,1,
浑蛋,1,0,错误
混蛋,1,0,错误
脑残,1,0,错误
二逼,1,1,
笨蛋,1,0,错误
傻瓜,1,0,错误
你是一个二逼吗？,1,1,
你真是一个傻瓜！,1,0,错误
你真傻啊,1,0,错误
核实你妈比,1,1,
"?????00000000000000000000000. 核实你妈比, 老子告诉它交叉口,还一直问,",1,1,
"00000000000元, 你傻逼啊",1,1,
000109784043 帮我查查这个订单 他妈的停在那几天了几天了,1,1,
000339455863我这个主板都没有修好，忽悠人啊,1,1,
、000606737740 ? 草泥马这个老子是长沙的他发济南草泥马,1,1,
0080欺骗了我怎么处理的,1,1,
0081他妈的,1,1,
0081她妈的,1,1,
1113366445 这件也是 多久了 第三方物流真的是要气死人了,1,1,
1113565992 的商品我已经到当地12365确认了是假货,1,1,
1114010186，这件衣服商家让我退货，让我快递过去，我不同意。因为商家断货的原因，找了一件次品发给消费者。而消费者还要花时间收、寄。并且商标和内签根本不同。第一这是商家用低价诱骗客户，第二用假货以次充好。我己申请赔付，并己通知你们高级客服处理。所以商家回复的方式，我不认可。,1,1,
1115878622      和: 1115904831   这两个订单帮我申请退款下就好了。。这次被你们京东坑了一把。真尼玛伤心。,1,1,
1115984682请解释。。。。。你他妈的给我解释清楚,1,1,
11 16:35:24 \\客服回复：\您好，此单发票已通知商家开具，因为部分商家的发票不能开具办公用品等内容，所以您收到发票可能是开具的您购买商品的明细，敬请谅解。\提交时间：\2014-03-11 16:35:53 \\我的留言：\还没收到，继续留言\提交时间：\2014-03-14 19:09:26\\客服回复：\已寄出 韵达，1201220139387 谢谢\提交时间：\2014-03-16 10:59:11 \\我的留言：\能专业点吗，是第三方忽悠你们，还是你们忽悠我？这个单号的快递是从上海寄到海南三亚的，我的收件地址是哪里？\提交时间：\2014-03-16 16:42:48\\客服回复：\您好，真的很抱歉，之前确实是我们没有查询清楚，我现在就为您再次联系商家确认，谢谢您的提醒\提交时间：\2014,1,1,
11183 是邮政的我问人家有毛用啊 我连运单号都没有,1,1,
1118559756 ? ?手机什么时候到 他妈的太慢了吧,1,1,
11185有屁用啊！它是快递员电话吗,1,1,
11:20:411684402535 服务单号：130091874 第2次换货，还是给2手货，而且比上一个2手更2手。而且你们快递人员不耐烦，说货物送到其他不关他的事，他只不停要求我签名签名！态度不友善，投诉这名工作人员：张颖桃 “2014-07-25 15:01:17 引用你们信息：配送员【张颖桃】已出发，联系电话【15622278774，投诉请拨：020-81075313；亲，收货后请登录京东给个好评哦！谢谢！】”请不要安排这个快递人员来退换我的东西，我害怕他会上门来打我！如果你们再安排他来的话，我继续投诉！ 包装有明显开过的痕迹！ 鼠标脚贴有严重的刮痕，上一个刮痕还没有这个严重！你们老总刘强东说过：“京东如果也出现了假货，那跟天猫淘宝还有什么区别?京东的存在还有什么价值?”理想很丰满，现实很骨感，你们再这,1,1,
11.22 你们的客服死光了？,1,1,
1128130737 和1128047868 是同一个商品 取消赠送20元京券/id，这个是卖家欺骗，不妥协,1,1,
1129117741给我操作一下吧,1,1,
1-12个工作日，你他妈的看看是不是快24个工作日了,1,1,
1130863720 ?本人28号买了四张蓝宝石r9 270，单价是1599 ，当时你们的宣传是数量有限，价格不定期上涨，没有想到才过几天，你们就大降250一张，我买了四张，多出了1000元，你们就是这样虚假宣传的么？？还数量有限，不定期涨价？？这就是你们京东一直的待客之道么？就是这样欺骗消费者么？,1,1,
11:30开始的，现在12:42 我操你妈逼了？,1,1,
